CFU	Strain	Time
750	CFT073	0 hpi
3210	CFT073	0 hpi
4170	CFT073	0 hpi
4110	CFT073	0 hpi
5250	CFT073	0 hpi
2220	MG1655	0 hpi
2580	MG1655	0 hpi
1770	MG1655	0 hpi
2550	MG1655	0 hpi
2310	MG1655	0 hpi
4200	I1	0 hpi
510	I1	0 hpi
750	I1	0 hpi
2310	I1	0 hpi
3030	I1	0 hpi
3840	R1	0 hpi
4020	R1	0 hpi
5130	R1	0 hpi
1560	R1	0 hpi
5070	R1	0 hpi
78300	CFT073	6 hpi
92100	CFT073	6 hpi
33900	CFT073	6 hpi
65400	CFT073	6 hpi
98100	CFT073	6 hpi
219	MG1655	6 hpi
507	MG1655	6 hpi
273	MG1655	6 hpi
180	MG1655	6 hpi
288	MG1655	6 hpi
34200	I1	6 hpi
25500	I1	6 hpi
33600	I1	6 hpi
1710	I1	6 hpi
1170	I1	6 hpi
18000	R1	6 hpi
5130	R1	6 hpi
67800	R1	6 hpi
60900	R1	6 hpi
110100	R1	6 hpi
4470000	CFT073	24 hpi
4830000	CFT073	24 hpi
5.67	CFT073	24 hpi
1.65E+07	CFT073	24 hpi
5070000	CFT073	24 hpi
111	MG1655	24 hpi
112	MG1655	24 hpi
42	MG1655	24 hpi
27	MG1655	24 hpi
57	MG1655	24 hpi
3630000	I1	24 hpi
4560000	I1	24 hpi
5850000	I1	24 hpi
50100	I1	24 hpi
3270000	I1	24 hpi
4110000	R1	24 hpi
2730000	R1	24 hpi
4230000	R1	24 hpi
1.92E+07	R1	24 hpi
600	R1	24 hpi
15	MG1655	48 hpi
25	MG1655	48 hpi
24	MG1655	48 hpi
12	MG1655	48 hpi
207	MG1655	48 hpi
9	I1	48 hpi
27	I1	48 hpi
NA	R1	48 hpi
NA	CFT073	48 hpi
