CFU	Strain	Time
900	CFT073	0 hpi
900	CFT073	0 hpi
1170	CFT073	0 hpi
1200	CFT073	0 hpi
840	CFT073	0 hpi
6900	MG1655	0 hpi
8700	MG1655	0 hpi
11700	MG1655	0 hpi
9600	MG1655	0 hpi
6300	MG1655	0 hpi
10500	I2	0 hpi
9600	I2	0 hpi
9900	I2	0 hpi
7800	I2	0 hpi
9000	I2	0 hpi
4200	R2	0 hpi
6000	R2	0 hpi
9900	R2	0 hpi
9900	R2	0 hpi
9600	R2	0 hpi
1920	CFT073	6 hpi
2070	CFT073	6 hpi
2070	CFT073	6 hpi
5790	CFT073	6 hpi
2100	CFT073	6 hpi
810	MG1655	6 hpi
1500	MG1655	6 hpi
1410	MG1655	6 hpi
1170	MG1655	6 hpi
1680	MG1655	6 hpi
285000	I2	6 hpi
225000	I2	6 hpi
264000	I2	6 hpi
435000	I2	6 hpi
246000	I2	6 hpi
315000	R2	6 hpi
213000	R2	6 hpi
171000	R2	6 hpi
267000	R2	6 hpi
279000	R2	6 hpi
1800	CFT073	24 hpi
13200	CFT073	24 hpi
66000	CFT073	24 hpi
48000	CFT073	24 hpi
90	CFT073	24 hpi
249	MG1655	24 hpi
69	MG1655	24 hpi
531	MG1655	24 hpi
72	MG1655	24 hpi
372	MG1655	24 hpi
3150000	I2	24 hpi
2.00E+07	I2	24 hpi
4530000	I2	24 hpi
3840000	I2	24 hpi
2850000	I2	24 hpi
2850000	R2	24 hpi
1.00E+07	R2	24 hpi
2.00E+07	R2	24 hpi
8430000	R2	24 hpi
2850000	R2	24 hpi
93	MG1655	48 hpi
309	MG1655	48 hpi
132	MG1655	48 hpi
183	MG1655	48 hpi
180	MG1655	48 hpi
NA	CFT073	48 hpi
NA	I2	48 hpi
NA	R2	48 hpi
