OD	Sample	Group
0.685074985	MG1655	PS plate
0.300874997	MG1655	PS plate
0.348674998	MG1655	PS plate
0.340500005	MG1655	PS plate
0.288224995	MG1655	PVC plate
0.270574998	MG1655	PVC plate
0.292024992	MG1655	PVC plate
0.176699996	MG1655	PVC plate
0.136900004	I1	PS plate
0.1293	I1	PS plate
0.124150002	I1	PS plate
0.125675002	I1	PS plate
0.135625001	I1	PVC plate
0.136850001	I1	PVC plate
0.1358	I1	PVC plate
0.119125001	I1	PVC plate
0.138849996	R1	PS plate
0.136324998	R1	PS plate
0.130674999	R1	PS plate
0.104349999	R1	PS plate
0.140175002	R1	PVC plate
0.138900004	R1	PVC plate
0.125924999	R1	PVC plate
0.116450002	R1	PVC plate
1.212650001	TG1	PS plate
1.271749973	TG1	PS plate
1.186949998	TG1	PS plate
0.744100004	TG1	PS plate
0.998349994	TG1	PVC plate
0.852750018	TG1	PVC plate
0.702899992	TG1	PVC plate
0.5572	TG1	PVC plate
